N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,4,3000,0.001,,5.0,0.0,,0.9656697229582537,0.2684,0.9759903871038912,0.2722333333333333,4.392031984381719,0,4.2825266776722595,0.0017783604258758182,70,1.0,6.134327974342961,-1.0,4824,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.961898829717289,0.27076666666666666,0.9628591156367841,0.2699,4.358026704154667,0,4.260713604108237,0.0012605112608632635,70,1.0,6.094758171606006,-1.0,4855,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.96472823347102,0.2704666666666667,0.9772941837469056,0.2708333333333333,4.360519482702659,0,4.304374425657685,0.001811137803173592,70,1.0,6.1271338613813064,-1.0,4824,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.9692112962359068,0.2714666666666667,0.9754417506638219,0.27176666666666666,4.3143348802076105,0,4.255794238805056,0.005013362684422553,70,1.0,6.060137792296667,-1.0,4798,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.9609781338942325,0.2723333333333333,0.9703316735538715,0.27166666666666667,4.3226489729177455,0,4.245896781038883,0.0014053143470254652,70,1.0,6.059119871590525,-1.0,4771,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.9800216409762509,0.27336666666666665,0.9859198529642029,0.2729,4.330629696770147,0,4.307173884764493,0.0012588701272224785,70,1.0,6.1078720062018945,-1.0,4795,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,1.0585137931053326,0.27026666666666666,1.0616000537161714,0.26813333333333333,4.975122880561444,0,4.794897430246994,0.004059902482574156,80,1.0,6.90962293061461,-1.0,5497,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,1.0624008060432606,0.2722333333333333,1.066205671444557,0.2722333333333333,4.888087592928371,0,4.781611031383496,0.004075843157197643,80,1.0,6.837923981120923,-1.0,5464,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,1.0488510084031775,0.2684666666666667,1.0521927818758472,0.2643333333333333,4.954959226419201,0,4.767475190686346,0.002534651927084452,80,1.0,6.8760774158881155,-1.0,5506,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,1.0814109591951098,0.2719,1.0810244684812345,0.2702,4.959640252737139,0,4.882081995156887,0.005576079061273276,80,1.0,6.959364629332592,-1.0,5509,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.0511204700453787,0.26803333333333335,1.0800016807463673,0.2695,5.012466885058812,0,4.85165057992589,0.001764942508211736,80,1.0,6.975911239652238,-1.0,5512,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.061197343593329,0.2729333333333333,1.0628032754748165,0.26753333333333335,4.929220231304183,0,4.80223472396478,0.001641235266758544,80,1.0,6.881763613547878,-1.0,5483,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,1.064670888247308,0.2678,1.07816388043757,0.2687,5.015640686917655,0,4.8542864034715505,0.010658759279516953,80,1.0,6.980024927404813,-1.0,5504,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.0495948814858693,0.2713333333333333,1.0601960704784197,0.2699,4.8679337195565155,0,4.748912824574087,0.001132571317302989,80,1.0,6.800658182367319,-1.0,5474,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.0595592619535594,0.2693333333333333,1.0538282474447167,0.2663333333333333,4.932837193422951,0,4.78036786213921,0.00413341247456528,80,1.0,6.869119279368368,-1.0,5464,misspec,0.95,0.05
